Unnamed: 0,store_id,order_id,product_id,price,profit,delivery_distance,order_start_prepare,planned_prep_time,order_ready,region_id
0,5014,20562761,,14.22,45.504,2205,2024-09-05 15:25:33,15.0,2024-09-05 15:32:00,683
1,5014,20562761,,42.66,45.504,2205,2024-09-05 15:25:33,15.0,2024-09-05 15:32:00,683
2,5014,20562585,,,49.77,536,2024-09-05 15:11:49,15.0,2024-09-05 15:25:54,683
3,5014,20562585,,,49.77,536,2024-09-05 15:11:49,15.0,2024-09-05 15:25:54,683
4,5014,20562585,,,49.77,536,2024-09-05 15:11:49,15.0,2024-09-05 15:25:54,683
5,10489,20562577,,38.71,27.65,314,2024-09-05 15:12:07,20.0,2024-09-05 15:29:10,683
6,10489,20562577,,16.59,27.65,314,2024-09-05 15:12:07,20.0,2024-09-05 15:29:10,683
7,4360,20562539,,48.98,,1863,2024-09-05 15:10:09,25.0,2024-09-05 15:28:43,707
8,4360,20562539,,23.7,,1863,2024-09-05 15:10:09,25.0,2024-09-05 15:28:43,707
9,5863,20562521,,19.75,34.760000000000005,3868,2024-09-05 15:07:58,15.0,2024-09-05 15:16:50,703
10,5863,20562521,,23.7,34.760000000000005,3868,2024-09-05 15:07:58,15.0,2024-09-05 15:16:50,703
11,9787,20562503,,15.8,12.482,3874,2024-09-05 15:13:13,15.0,2024-09-05 15:30:15,683
12,9787,20562503,,7.9,12.482,3874,2024-09-05 15:13:13,15.0,2024-09-05 15:30:15,683
13,9787,20562503,,38.71,12.482,3874,2024-09-05 15:13:13,15.0,2024-09-05 15:30:15,683
14,8941,20562501,,13.43,28.045,3146,,25.0,2024-09-05 15:27:16,683
15,8941,20562501,,42.66,28.045,3146,,25.0,2024-09-05 15:27:16,683
16,3503,20562489,,36.34,11.534,9689,2024-09-05 15:06:18,15.0,2024-09-05 15:19:19,683
17,3503,20562489,,21.33,11.534,9689,2024-09-05 15:06:18,15.0,2024-09-05 15:19:19,683
18,3610,20562469,,34.76,17.38,2548,2024-09-05 15:02:50,20.0,,689
19,9383,20562453,,13.43,9.875,2851,2024-09-05 15:01:13,20.0,2024-09-05 15:26:11,695
20,9383,20562453,,6.32,9.875,2851,2024-09-05 15:01:13,20.0,2024-09-05 15:26:11,695
21,5212,20562447,,,21.8672,2646,2024-09-05 15:00:10,20.0,2024-09-05 15:11:04,683
22,5212,20562447,,4.424,21.8672,2646,2024-09-05 15:00:10,20.0,2024-09-05 15:11:04,683
23,3522,20562409,84633.0,29.23,62.568,9387,2024-09-05 15:00:31,25.0,2024-09-05 15:09:17,685
24,3522,20562409,,48.98,62.568,9387,2024-09-05 15:00:31,25.0,2024-09-05 15:09:17,685
